house,category,room,slot,file,status
Estancia VIK,Master Suites,Master Suite VIK,01,assets/img/rooms/estancia/master-suite-vik-01.jpg,genuine
Estancia VIK,Master Suites,Master Suite VIK,02,assets/img/rooms/estancia/master-suite-vik-02.jpg,STAND-IN — needs the real photograph
Estancia VIK,Master Suites,Master Suite VIK,03,assets/img/rooms/estancia/master-suite-vik-03.jpg,STAND-IN — needs the real photograph
Estancia VIK,Master Suites,Master Suite Daglio,01,assets/img/rooms/estancia/master-suite-daglio-01.jpg,genuine
Estancia VIK,Master Suites,Master Suite Daglio,02,assets/img/rooms/estancia/master-suite-daglio-02.jpg,STAND-IN — needs the real photograph
Estancia VIK,Master Suites,Master Suite Daglio,03,assets/img/rooms/estancia/master-suite-daglio-03.jpg,STAND-IN — needs the real photograph
Estancia VIK,Master Suites,Master Suite Legrand,01,assets/img/rooms/estancia/master-suite-legrand-01.jpg,genuine
Estancia VIK,Master Suites,Master Suite Legrand,02,assets/img/rooms/estancia/master-suite-legrand-02.jpg,STAND-IN — needs the real photograph
Estancia VIK,Master Suites,Master Suite Legrand,03,assets/img/rooms/estancia/master-suite-legrand-03.jpg,STAND-IN — needs the real photograph
Estancia VIK,Master Suites,Master Suite Seveso,01,assets/img/rooms/estancia/master-suite-seveso-01.jpg,genuine
Estancia VIK,Master Suites,Master Suite Seveso,02,assets/img/rooms/estancia/master-suite-seveso-02.jpg,STAND-IN — needs the real photograph
Estancia VIK,Master Suites,Master Suite Seveso,03,assets/img/rooms/estancia/master-suite-seveso-03.jpg,STAND-IN — needs the real photograph
Estancia VIK,Suites,Amengual Suite,01,assets/img/rooms/estancia/amengual-suite-01.jpg,genuine
Estancia VIK,Suites,Amengual Suite,02,assets/img/rooms/estancia/amengual-suite-02.jpg,STAND-IN — needs the real photograph
Estancia VIK,Suites,Amengual Suite,03,assets/img/rooms/estancia/amengual-suite-03.jpg,STAND-IN — needs the real photograph
Estancia VIK,Suites,Barea Suite,01,assets/img/rooms/estancia/barea-suite-01.jpg,genuine
Estancia VIK,Suites,Barea Suite,02,assets/img/rooms/estancia/barea-suite-02.jpg,STAND-IN — needs the real photograph
Estancia VIK,Suites,Barea Suite,03,assets/img/rooms/estancia/barea-suite-03.jpg,STAND-IN — needs the real photograph
Estancia VIK,Suites,Cardozo Suite,01,assets/img/rooms/estancia/cardozo-suite-01.jpg,genuine
Estancia VIK,Suites,Cardozo Suite,02,assets/img/rooms/estancia/cardozo-suite-02.jpg,STAND-IN — needs the real photograph
Estancia VIK,Suites,Cardozo Suite,03,assets/img/rooms/estancia/cardozo-suite-03.jpg,STAND-IN — needs the real photograph
Estancia VIK,Suites,Badaro Suite,01,assets/img/rooms/estancia/badaro-suite-01.jpg,genuine
Estancia VIK,Suites,Badaro Suite,02,assets/img/rooms/estancia/badaro-suite-02.jpg,STAND-IN — needs the real photograph
Estancia VIK,Suites,Badaro Suite,03,assets/img/rooms/estancia/badaro-suite-03.jpg,STAND-IN — needs the real photograph
Estancia VIK,Suites,Musso Suite,01,assets/img/rooms/estancia/musso-suite-01.jpg,genuine
Estancia VIK,Suites,Musso Suite,02,assets/img/rooms/estancia/musso-suite-02.jpg,STAND-IN — needs the real photograph
Estancia VIK,Suites,Musso Suite,03,assets/img/rooms/estancia/musso-suite-03.jpg,STAND-IN — needs the real photograph
Estancia VIK,Suites,Trujillo Suite,01,assets/img/rooms/estancia/trujillo-suite-01.jpg,genuine
Estancia VIK,Suites,Trujillo Suite,02,assets/img/rooms/estancia/trujillo-suite-02.jpg,STAND-IN — needs the real photograph
Estancia VIK,Suites,Trujillo Suite,03,assets/img/rooms/estancia/trujillo-suite-03.jpg,STAND-IN — needs the real photograph
Estancia VIK,Suites,Turell Suite,01,assets/img/rooms/estancia/turell-suite-01.jpg,genuine
Estancia VIK,Suites,Turell Suite,02,assets/img/rooms/estancia/turell-suite-02.jpg,STAND-IN — needs the real photograph
Estancia VIK,Suites,Turell Suite,03,assets/img/rooms/estancia/turell-suite-03.jpg,STAND-IN — needs the real photograph
Estancia VIK,Suites,Duarte Suite,01,assets/img/rooms/estancia/duarte-suite-01.jpg,genuine
Estancia VIK,Suites,Duarte Suite,02,assets/img/rooms/estancia/duarte-suite-02.jpg,STAND-IN — needs the real photograph
Estancia VIK,Suites,Duarte Suite,03,assets/img/rooms/estancia/duarte-suite-03.jpg,STAND-IN — needs the real photograph
Playa VIK,Casas,The Casas,01,assets/img/rooms/playa/the-casas-01.jpg,genuine
Playa VIK,Casas,The Casas,02,assets/img/rooms/playa/the-casas-02.jpg,STAND-IN — needs the real photograph
Playa VIK,Casas,The Casas,03,assets/img/rooms/playa/the-casas-03.jpg,STAND-IN — needs the real photograph
Playa VIK,Casas,Casa Blanca,01,assets/img/rooms/playa/casa-blanca-01.jpg,genuine
Playa VIK,Casas,Casa Blanca,02,assets/img/rooms/playa/casa-blanca-02.jpg,STAND-IN — needs the real photograph
Playa VIK,Casas,Casa Blanca,03,assets/img/rooms/playa/casa-blanca-03.jpg,STAND-IN — needs the real photograph
Playa VIK,Casas,Garden View Living,01,assets/img/rooms/playa/garden-view-living-01.jpg,genuine
Playa VIK,Casas,Garden View Living,02,assets/img/rooms/playa/garden-view-living-02.jpg,STAND-IN — needs the real photograph
Playa VIK,Casas,Garden View Living,03,assets/img/rooms/playa/garden-view-living-03.jpg,STAND-IN — needs the real photograph
Playa VIK,Suites,Sculpture Suites,01,assets/img/rooms/playa/sculpture-suites-01.jpg,genuine
Playa VIK,Suites,Sculpture Suites,02,assets/img/rooms/playa/sculpture-suites-02.jpg,STAND-IN — needs the real photograph
Playa VIK,Suites,Sculpture Suites,03,assets/img/rooms/playa/sculpture-suites-03.jpg,STAND-IN — needs the real photograph
Playa VIK,Suites,Ocean Suite,01,assets/img/rooms/playa/ocean-suite-01.jpg,genuine
Playa VIK,Suites,Ocean Suite,02,assets/img/rooms/playa/ocean-suite-02.jpg,STAND-IN — needs the real photograph
Playa VIK,Suites,Ocean Suite,03,assets/img/rooms/playa/ocean-suite-03.jpg,STAND-IN — needs the real photograph
Playa VIK,Suites,Terrace Suite,01,assets/img/rooms/playa/terrace-suite-01.jpg,genuine
Playa VIK,Suites,Terrace Suite,02,assets/img/rooms/playa/terrace-suite-02.jpg,STAND-IN — needs the real photograph
Playa VIK,Suites,Terrace Suite,03,assets/img/rooms/playa/terrace-suite-03.jpg,STAND-IN — needs the real photograph
Playa VIK,Suites,Garden Suite,01,assets/img/rooms/playa/garden-suite-01.jpg,genuine
Playa VIK,Suites,Garden Suite,02,assets/img/rooms/playa/garden-suite-02.jpg,STAND-IN — needs the real photograph
